Arrival Rate,Service Time,Throughput
10,0.002156496047973633,463
20,0.008623051643371581,115
40,0.00892784595489502,112
80,0.017253684997558593,57
160,0.014646458625793456,68
320,0.040272307395935056,24
640,0.03359878063201904,29
1280,0.13389501571655274,7
2560,0.036227965354919435,27
5120,0.04001960754394531,24
10240,0.03636744022369385,27
20480,0.021671414375305176,46
40960,0.05978648662567139,16
81920,0.06621389389038086,15
163840,0.048821020126342776,20
327680,0.043887758255004884,22
655360,0.08671741485595703,11
